speccode,english_name,prev_status
131.0,grey partridge,nc
171.0,lapwing,nc
384.0,grasshopper warbler,nc
126.0,ptarmigan,g
202.0,whimbrel,nc
325.0,house martin,a
128.0,capercaillie,nc
203.0,curlew,nc
421.0,wood warbler,nc
127.0,black grouse,nc
197.0,black-tailed godwit,nc
457.0,starling,nc
47.0,bewick's swan,a
190.0,ruff,nc
378.0,mistle thrush,nc
51.0,white-fronted goose,nc
186.0,dunlin,a
375.0,fieldfare,nc
85.0,long-tailed duck,nc
185.0,purple sandpiper,a
370.0,ring ouzel,nc
88.0,velvet scoter,nc
196.0,woodcock,nc
426.0,spotted flycatcher,nc
86.0,common scoter,nc
219.0,red-necked phalarope,nc
347.0,nightingale,nc
91.0,goldeneye,a
242.0,kittiwake,nc
354.0,whinchat,nc
93.0,smew,a
237.0,herring gull,nc
459.0,house sparrow,nc
76.0,pochard,nc
249.0,roseate tern,nc
461.0,tree sparrow,nc
80.0,scaup,nc
222.0,arctic skua,nc
330.0,tree pipit,nc
8.0,red-necked grebe,nc
266.0,puffin,nc
334.0,yellow wagtail,nc
9.0,slavonian grebe,nc
105.0,hen harrier,nc
485.0,hawfinch,nc
272.0,turtle dove,nc
,montaguâ€™s harrier,a
470.0,greenfinch,g
295.0,swift,a
311.0,lesser spotted woodpecker,nc
474.0,twite,nc
276.0,cuckoo,nc
119.0,merlin,nc
473.0,linnet,nc
141.0,corncrake,nc
445.0,red-backed shrike,nc
,redpoll,nc
,leach's storm-petrel,a
432.0,marsh tit,nc
528.0,corn bunting,nc
1008.0,balearic shearwater,nc
433.0,willow tit,nc
515.0,cirl bunting,nc
27.0,shag,nc
319.0,skylark,nc
514.0,yellowhammer,nc
166.0,dotterel,nc
392.0,marsh warbler,nc
160.0,ringed plover,nc
386.0,savi's warbler,nc
